goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkFileServe/no-logger/128k.js-16                     	    6562	    183880 ns/op	    9434 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1933	    609088 ns/op	    9363 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1957	    600709 ns/op	    9553 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    2007	    597033 ns/op	    9547 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    2010	    598482 ns/op	    9476 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    2006	    600764 ns/op	    9425 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1958	    605456 ns/op	    9473 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1998	    600567 ns/op	    9677 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1993	    599548 ns/op	    9443 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1969	    607523 ns/op	    9459 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1940	    605220 ns/op	    9454 B/op	     103 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8854	    133938 ns/op	    9831 B/op	     101 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8898	    133596 ns/op	    9848 B/op	     101 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8536	    133645 ns/op	    9858 B/op	     101 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8954	    133277 ns/op	    9846 B/op	     101 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8779	    134226 ns/op	    9833 B/op	     101 allocs/op
