goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMiddleware_Compress_SmallBody-16        	 4454328	       289.2 ns/op	      94 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4378273	       288.9 ns/op	      96 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4458205	       288.2 ns/op	      94 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4473454	       291.2 ns/op	      94 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4505030	       288.3 ns/op	      93 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4595475	       287.8 ns/op	      92 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4561030	       287.8 ns/op	      92 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4584874	       288.5 ns/op	      92 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4581049	       287.1 ns/op	      92 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 4038390	       303.0 ns/op	      83 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3878523	       315.6 ns/op	      87 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3936542	       313.3 ns/op	      86 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 4005424	       310.7 ns/op	      84 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3968463	       310.5 ns/op	      85 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3984318	       312.0 ns/op	      85 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 4009328	       314.5 ns/op	      84 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3848360	       322.0 ns/op	      88 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3947610	       310.1 ns/op	      85 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 3988086	       309.9 ns/op	      85 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	67633392	        17.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69110314	        17.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	68258091	        17.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	68519959	        17.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	68500567	        17.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	66747163	        17.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69147027	        17.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69463482	        17.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	69091696	        17.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	67423718	        17.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5343170	       221.7 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5399780	       222.3 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5287623	       224.2 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5337427	       222.1 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5308377	       224.4 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5370840	       223.4 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5223457	       224.9 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5387090	       223.4 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5289930	       224.6 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5350322	       224.2 ns/op	     432 B/op	       4 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4493018	       266.8 ns/op	     464 B/op	       6 allocs/op
